PID,id,Block,Type,Trial,Cue Time,Action,Action Time,Reward,Reward Time,RT,Spin Speed,Craving Rating,Mood Rating,pid_db
61281debe85082cc937dd9ae,1,0,practice,1,1647962957.607,1,1647962958.18,1,1647962961.21,0.5729999542236328,fast,-1.0,-1.0,1
61281debe85082cc937dd9ae,2,0,practice,2,1647962962.255,1,1647962963.438,1,1647962966.454,1.182999849319458,fast,38.0,-1.0,1
61281debe85082cc937dd9ae,3,0,practice,3,1647962971.602,1,1647962972.271,1,1647962976.787,0.6689999103546143,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,4,0,practice,4,1647962977.835,1,1647962977.916,1,1647962982.449,0.0809998512268066,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,5,0,practice,5,1647962983.481,1,1647962983.549,1,1647962986.548,0.0680000782012939,fast,34.0,26.0,1
61281debe85082cc937dd9ae,6,1,other,1,1647962999.094,1,1647963000.066,1,1647963003.108,0.9719998836517334,fast,-1.0,-1.0,1
61281debe85082cc937dd9ae,7,1,other,2,1647963004.164,1,1647963004.209,0,1647963007.211,0.0450000762939453,fast,35.0,-1.0,1
61281debe85082cc937dd9ae,8,1,other,3,1647963011.855,0,1647963012.573,1,1647963017.07,0.7179999351501465,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,9,1,other,4,1647963018.103,0,1647963018.133,0,1647963022.634,0.0299999713897705,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,10,1,other,5,1647963023.687,0,1647963024.187,0,1647963027.221,0.5,fast,34.0,18.0,1
61281debe85082cc937dd9ae,11,1,other,6,1647963034.464,1,1647963035.384,0,1647963039.899,0.9200000762939452,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,12,1,other,7,1647963040.95,0,1647963041.021,1,1647963044.032,0.0709998607635498,fast,-1.0,-1.0,1
61281debe85082cc937dd9ae,13,1,other,8,1647963045.06,0,1647963045.217,0,1647963049.726,0.1570000648498535,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,14,1,other,9,1647963050.775,0,1647963050.943,1,1647963055.46,0.1679999828338623,slow,30.0,-1.0,1
61281debe85082cc937dd9ae,15,1,other,10,1647963059.205,1,1647963060.36,1,1647963063.393,1.1549999713897705,fast,-1.0,-1.0,1
61281debe85082cc937dd9ae,16,1,other,11,1647963064.439,1,1647963064.625,1,1647963067.66,0.186000108718872,fast,-1.0,-1.0,1
61281debe85082cc937dd9ae,17,1,other,12,1647963068.702,1,1647963068.769,1,1647963073.304,0.0670001506805419,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,18,1,other,13,1647963074.4,1,1647963074.721,0,1647963077.75,0.3209998607635498,fast,32.0,31.0,1
61281debe85082cc937dd9ae,19,1,other,14,1647963085.546,0,1647963086.251,0,1647963090.78,0.7049999237060547,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,20,1,other,15,1647963091.814,1,1647963091.89,0,1647963094.878,0.0760002136230468,fast,-1.0,-1.0,1
61281debe85082cc937dd9ae,21,1,other,16,1647963095.92,1,1647963100.646,0,1647963103.707,4.72599983215332,fast,-1.0,-1.0,1
61281debe85082cc937dd9ae,22,1,other,17,1647963104.74,0,1647963104.792,1,1647963109.328,0.0520000457763671,slow,28.0,20.0,1
61281debe85082cc937dd9ae,23,1,other,18,1647963115.536,0,1647963116.105,1,1647963120.619,0.5690000057220459,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,24,1,other,19,1647963121.676,0,1647963121.79,1,1647963126.301,0.1139998435974121,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,25,1,other,20,1647963127.366,0,1647963127.434,1,1647963130.433,0.0680000782012939,fast,-1.0,-1.0,1
61281debe85082cc937dd9ae,26,1,other,21,1647963131.47,0,1647963131.5,1,1647963134.504,0.0299999713897705,fast,-1.0,-1.0,1
61281debe85082cc937dd9ae,27,1,other,22,1647963135.547,0,1647963135.985,1,1647963140.518,0.437999963760376,slow,33.0,33.0,1
61281debe85082cc937dd9ae,28,1,other,23,1647963147.062,1,1647963147.65,0,1647963152.16,0.5880000591278076,slow,-1.0,-1.0,1
61281debe85082cc937dd9ae,29,1,other,24,1647963153.211,0,1647963153.397,0,1647963157.879,0.186000108718872,slow,19.0,-1.0,1
61281debe85082cc937dd9ae,30,1,other,25,1647963161.554,1,1647963162.425,1,1647963165.421,0.8710000514984131,fast,28.0,33.0,1
61281debe85082cc937dd9ae,31,1,other,26,1647963172.018,1,1647963172.535,1,1647963175.569,0.5170001983642578,fast,-1.0,-1.0,1
61281debe85082cc937dd9ae,32,1,other,27,1647963176.618,1,1647963176.738,1,1647963181.231,0.119999885559082,slow,-1.0,-1.0,1
